@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
42,'2024/02/21 17:42:46:971',2,15.804531,1.010828,7.922215,7.862035,-0.044468,3.146764,3.206638,0,0,0,0,0,1,0,0
43,'2024/02/21 17:42:47:006',2,15.82956,0.989819,7.882821,7.828267,-0.049947,3.271001,3.330018,0,0,0,0,0,1,0,0
44,'2024/02/21 17:42:47:041',2,15.697094,1.000933,7.935183,7.878336,-0.047538,3.219267,3.279569,0,0,0,0,0,1,0,0
45,'2024/02/21 17:42:47:076',2,15.688603,0.986717,7.906986,7.839999,-0.043515,3.303466,3.361134,0,0,0,0,0,1,0,0
46,'2024/02/21 17:42:47:105',2,15.565406,0.999938,7.974331,7.906308,-0.042383,3.216749,3.273799,0,0,0,0,0,1,0,0
47,'2024/02/21 17:42:47:140',2,15.621027,0.997827,7.911342,7.848685,-0.0492,3.250534,3.303438,0,0,0,0,0,1,0,0
48,'2024/02/21 17:42:47:175',2,15.629639,0.996623,7.934058,7.876107,-0.049289,3.244662,3.303665,0,0,0,0,0,1,0,0
49,'2024/02/21 17:42:47:209',2,15.585745,1.000971,7.933654,7.871026,-0.043273,3.255804,3.311298,0,0,0,0,0,1,0,0
50,'2024/02/21 17:42:47:239',2,15.594463,0.990396,7.961467,7.894926,-0.038221,3.242313,3.29915,0,0,0,0,0,1,0,0
51,'2024/02/21 17:42:47:273',2,15.704327,1.008203,7.948638,7.890593,-0.039916,3.216135,3.27535,0,0,0,0,0,1,0,0
52,'2024/02/21 17:42:47:308',2,15.389316,0.996327,7.896255,7.838134,-0.046021,3.276582,3.324177,0,0,0,0,0,1,0,0
53,'2024/02/21 17:42:47:355',2,15.398271,1.006825,7.922494,7.859495,-0.049491,3.24022,3.287084,0,0,0,0,0,1,0,0
54,'2024/02/21 17:42:47:372',2,15.420398,1.017925,7.894621,7.836482,-0.050667,3.255033,3.303049,0,0,0,0,0,1,0,0
55,'2024/02/21 17:42:47:407',2,15.418242,1.006971,7.88423,7.829921,-0.051801,3.304716,3.355124,0,0,0,0,0,1,0,0
56,'2024/02/21 17:42:47:442',2,15.407027,1.034256,7.915968,7.858746,-0.055308,3.232048,3.273364,0,0,0,0,0,1,0,0
57,'2024/02/21 17:42:47:471',2,15.547123,0.987752,7.878705,7.820928,-0.053716,3.268974,3.311489,0,0,0,0,0,1,0,0
58,'2024/02/21 17:42:47:473',2,15.547123,0.987752,7.878705,7.820928,-0.053716,3.268974,3.311489,0,0,0,0,0,1,0,0
59,'2024/02/21 17:42:47:505',2,15.863776,1.037402,7.931319,7.88018,-0.0562,3.161742,3.201127,0,0,0,0,0,1,0,0
60,'2024/02/21 17:42:47:552',2,15.755854,0.987581,7.888891,7.843574,-0.057152,3.274698,3.311574,0,0,0,0,0,1,0,0
61,'2024/02/21 17:42:47:575',2,15.709902,0.99931,7.798377,7.748591,-0.047695,3.27745,3.315777,0,0,0,0,0,1,0,0
62,'2024/02/21 17:42:47:610',2,15.700006,0.970264,7.621587,7.56941,-0.041075,3.390122,3.4381,0,0,0,0,0,1,0,0
63,'2024/02/21 17:42:47:639',2,15.565537,0.996959,7.591884,7.529857,-0.032047,3.327837,3.380103,0,0,0,0,0,1,0,0
64,'2024/02/21 17:42:47:674',2,15.553524,0.970951,7.533015,7.474804,-0.029587,3.432152,3.48881,0,0,0,0,0,1,0,0
65,'2024/02/21 17:42:47:709',2,15.554447,0.990528,7.527477,7.471785,-0.030641,3.446216,3.50485,0,0,0,0,0,1,0,0
66,'2024/02/21 17:42:47:744',2,15.606145,0.980403,7.504746,7.455567,-0.034809,3.433535,3.494992,0,0,0,0,0,1,0,0
67,'2024/02/21 17:42:47:772',2,15.752852,1.010653,7.471425,7.423442,-0.039449,3.452242,3.511204,0,0,0,0,0,1,0,0
68,'2024/02/21 17:42:47:801',2,15.747416,0.961712,7.539143,7.4906,-0.035378,3.349058,3.412859,0,0,0,0,0,1,0,0
69,'2024/02/21 17:42:47:854',2,15.656434,0.987175,7.498081,7.44956,-0.035014,3.342539,3.398925,0,0,0,0,0,1,0,0
70,'2024/02/21 17:42:47:871',2,15.576819,0.99483,7.483791,7.437976,-0.040722,3.438272,3.496993,0,0,0,0,0,1,0,0
71,'2024/02/21 17:42:47:906',2,15.631193,0.996638,7.474816,7.426907,-0.046733,3.416833,3.475284,0,0,0,0,0,1,0,0
72,'2024/02/21 17:42:47:935',2,15.580279,1.01455,7.482306,7.429995,-0.038611,3.411906,3.474535,0,0,0,0,0,1,0,0
73,'2024/02/21 17:42:47:976',2,15.524449,0.99917,7.481962,7.43207,-0.051204,3.414108,3.471344,0,0,0,0,0,1,0,0
74,'2024/02/21 17:42:48:005',2,15.774569,1.018028,7.481892,7.447308,-0.039376,3.402862,3.461334,0,0,0,0,0,1,0,0
75,'2024/02/21 17:42:48:051',2,15.632995,0.986966,7.516453,7.463507,-0.034955,3.361371,3.417416,0,0,0,0,0,1,0,0
76,'2024/02/21 17:42:48:068',2,15.589974,0.998052,7.478084,7.427961,-0.031387,3.398714,3.448224,0,0,0,0,0,1,0,0
77,'2024/02/21 17:42:48:121',2,15.664604,0.995982,7.507092,7.466712,-0.039828,3.404077,3.454569,0,0,0,0,0,1,0,0
78,'2024/02/21 17:42:48:138',2,15.493733,1.024758,7.47701,7.423333,-0.033629,3.422517,3.478842,0,0,0,0,0,1,0,0
79,'2024/02/21 17:42:49:572',3,15.049107,1.031973,8.3866,8.342309,-0.088293,2.805529,2.816633,0,0,0,0,0,1,0,0
80,'2024/02/21 17:42:49:607',3,15.552042,1.058708,8.379623,8.36841,-0.089653,2.93472,2.950845,0,0,0,0,0,1,0,0
81,'2024/02/21 17:42:49:642',3,14.810063,1.082798,8.336549,8.293177,-0.089351,2.881329,2.904432,0,0,0,0,0,1,0,0
82,'2024/02/21 17:42:49:677',3,15.329615,1.020043,8.460548,8.415267,-0.076719,2.85373,2.861165,0,0,0,0,0,1,0,0
83,'2024/02/21 17:42:49:723',3,14.921564,1.025121,8.390429,8.341598,-0.084622,2.865475,2.878193,0,0,0,0,0,1,0,0
84,'2024/02/21 17:42:49:740',3,15.383644,1.050625,8.330526,8.296179,-0.075846,2.976172,3.004856,0,0,0,0,0,1,0,0
85,'2024/02/21 17:42:49:776',3,14.806415,1.060179,8.400229,8.363749,-0.085893,2.806483,2.83577,0,0,0,0,0,1,0,0
86,'2024/02/21 17:42:49:810',3,15.144761,1.010788,8.464092,8.410008,-0.086507,2.735771,2.742061,0,0,0,0,0,1,0,0
87,'2024/02/21 17:42:49:839',3,14.769164,1.018903,8.361914,8.326929,-0.087689,2.950083,2.968926,0,0,0,0,0,1,0,0
88,'2024/02/21 17:42:49:875',3,15.686131,1.021947,8.442166,8.394902,-0.090835,2.773759,2.775523,0,0,0,0,0,1,0,0
89,'2024/02/21 17:42:49:909',3,15.170668,1.059139,8.305074,8.277399,-0.096635,2.993045,3.010959,0,0,0,0,0,1,0,0
90,'2024/02/21 17:42:49:938',3,14.786436,1.039977,8.282771,8.232408,-0.090809,2.887375,2.898753,0,0,0,0,0,1,0,0
91,'2024/02/21 17:42:49:973',3,15.221896,0.978866,8.014899,8.013401,-0.095873,2.995672,3.008003,0,0,0,0,0,1,0,0
92,'2024/02/21 17:42:50:008',3,14.561477,0.951375,7.966794,7.959179,-0.101589,3.056744,3.07416,0,0,0,0,0,1,0,0
93,'2024/02/21 17:42:50:042',3,15.614981,0.988526,7.914502,7.92403,-0.098892,3.023313,3.034858,0,0,0,0,0,1,0,0
94,'2024/02/21 17:42:50:077',3,14.934599,0.982012,7.969712,7.97711,-0.097504,2.999555,3.024336,0,0,0,0,0,1,0,0
